"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","시도구도구분"
"3127","도봉로10길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3128","도봉로10나길","일반도로","국지도로","소로","6m미만","구도"
"3129","도봉로10다길","일반도로","국지도로","소로","6m미만","구도"
"3130","도봉로10라길","일반도로","국지도로","소로","6m미만","구도"
"3131","도봉로101길","일반도로","국지도로","소로","6m미만","구도"
"3132","도봉로102길","일반도로","국지도로","소로","6m미만","구도"
"3133","도봉로103길","일반도로","국지도로","소로","6m미만","구도"
"3134","도봉로104길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3135","도봉로106길","일반도로","국지도로","소로","6m미만","구도"
"3136","도봉로108길","일반도로","국지도로","소로","6m미만","구도"
"3137","도봉로109가길","일반도로","국지도로","소로","6m미만","구도"
"3138","도봉로109길","일반도로","국지도로","소로","6m미만","구도"
"3139","도봉로110가길","일반도로","국지도로","소로","6m미만","구도"
"3140","도봉로110길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3141","도봉로110나길","일반도로","국지도로","소로","6m미만","구도"
"3142","도봉로110다길","일반도로","국지도로","소로1류","폭10-12m","구도"
"3143","도봉로110라길","일반도로","국지도로","소로","6m미만","구도"
"3144","도봉로110마길","일반도로","국지도로","소로","6m미만","구도"
"3145","도봉로110바길","일반도로","국지도로","소로","6m미만","구도"
"3146","도봉로110아길","일반도로","국지도로","중로2류","폭15-20m","구도"
"3147","도봉로112길","일반도로","국지도로","소로","6m미만","구도"
"3148","도봉로113가길","일반도로","국지도로","소로","6m미만","구도"
"3149","도봉로113길","일반도로","국지도로","소로","6m미만","구도"
"3150","도봉로114길","일반도로","국지도로","소로","6m미만","구도"
"3151","도봉로115길","일반도로","국지도로","소로","6m미만","구도"
"3152","도봉로116길","일반도로","국지도로","소로","6m미만","구도"
"3153","도봉로117길","일반도로","국지도로","소로","6m미만","구도"
"3154","도봉로118길","일반도로","국지도로","소로","6m미만","구도"
"3155","도봉로120길","일반도로","국지도로","소로","6m미만","구도"
"3156","도봉로121가길","일반도로","국지도로","소로","6m미만","구도"
"3157","도봉로121길","일반도로","국지도로","소로","6m미만","구도"
"3158","도봉로123길","일반도로","국지도로","소로","6m미만","구도"
"3159","도봉로125길","일반도로","국지도로","소로","6m미만","구도"
"3160","도봉로126길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3161","도봉로127길","일반도로","국지도로","소로","6m미만","구도"
"3162","도봉로129길","일반도로","국지도로","소로","6m미만","구도"
"3163","도봉로13가길","일반도로","국지도로","소로","6m미만","구도"
"3164","도봉로13길","일반도로","국지도로","소로","6m미만","구도"
"3165","도봉로13나길","일반도로","국지도로","소로","6m미만","구도"
"3166","도봉로130길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3167","도봉로131길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3168","도봉로133길","일반도로","국지도로","소로","6m미만","구도"
"3169","도봉로134길","일반도로","국지도로","소로","6m미만","구도"
"3170","도봉로135길","일반도로","국지도로","소로","6m미만","구도"
"3171","도봉로136가길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3172","도봉로136길","일반도로","국지도로","중로1류","폭20-25m","구도"
"3173","도봉로136나길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3174","도봉로136다길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3175","도봉로137길","일반도로","국지도로","소로","6m미만","구도"
"3176","도봉로139길","일반도로","국지도로","소로","6m미만","구도"
"3177","도봉로14길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3178","도봉로140길","일반도로","국지도로","소로","6m미만","구도"
"3179","도봉로141길","일반도로","국지도로","소로","6m미만","구도"
"3180","도봉로143길","일반도로","국지도로","소로","6m미만","구도"
"3181","도봉로145가길","일반도로","국지도로","소로","6m미만","구도"
"3182","도봉로145길","일반도로","국지도로","소로","6m미만","구도"
"3183","도봉로145나길","일반도로","국지도로","소로","6m미만","구도"
"3184","도봉로146길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3185","도봉로147길","일반도로","국지도로","소로","6m미만","구도"
"3186","도봉로149길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3187","도봉로15길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3188","도봉로150가길","일반도로","국지도로","소로","6m미만","구도"
"3189","도봉로150길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3190","도봉로150나길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3191","도봉로150다길","일반도로","국지도로","소로","6m미만","구도"
"3192","도봉로150라길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3193","도봉로150마길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3194","도봉로150바길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3195","도봉로151길","일반도로","국지도로","소로","6m미만","구도"
"3196","도봉로152가길","일반도로","국지도로","소로","6m미만","구도"
"3197","도봉로152길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3198","도봉로153길","일반도로","국지도로","소로","6m미만","구도"
"3199","도봉로154가길","일반도로","국지도로","소로","6m미만","구도"
"3200","도봉로154길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3201","도봉로155길","일반도로","국지도로","소로","6m미만","구도"
"3202","도봉로156길","일반도로","국지도로","소로","6m미만","구도"
"3203","도봉로157길","일반도로","국지도로","소로","6m미만","구도"
"3204","도봉로159길","일반도로","국지도로","소로","6m미만","구도"
"3205","도봉로16길","일반도로","국지도로","소로","6m미만","구도"
"3206","도봉로160가길","일반도로","국지도로","소로","6m미만","구도"
"3207","도봉로160길","일반도로","국지도로","소로","6m미만","구도"
"3208","도봉로162길","일반도로","국지도로","소로","6m미만","구도"
"3209","도봉로163길","일반도로","국지도로","소로","6m미만","구도"
"3210","도봉로164길","일반도로","국지도로","소로","6m미만","구도"
"3211","도봉로165길","일반도로","국지도로","소로","6m미만","구도"
"3212","도봉로167길","일반도로","국지도로","소로","6m미만","구도"
"3213","도봉로168길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3214","도봉로169가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3215","도봉로169길","일반도로","국지도로","소로","6m미만","구도"
"3216","도봉로169나길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3217","도봉로169다길","일반도로","국지도로","소로","6m미만","구도"
"3218","도봉로169라길","일반도로","국지도로","소로","6m미만","구도"
"3219","도봉로170길","일반도로","국지도로","중로2류","폭15-20m","구도"
"3220","도봉로171길","일반도로","국지도로","소로","6m미만","구도"
"3221","도봉로173가길","일반도로","국지도로","소로","6m미만","구도"
"3222","도봉로173길","일반도로","국지도로","소로","6m미만","구도"
"3223","도봉로173나길","일반도로","국지도로","소로","6m미만","구도"
"3224","도봉로173다길","일반도로","국지도로","소로","6m미만","구도"
"3225","도봉로175길","일반도로","국지도로","소로","6m미만","구도"
"3226","도봉로177가길","일반도로","국지도로","소로","6m미만","구도"
"3227","도봉로177길","일반도로","국지도로","소로","6m미만","구도"
"3228","도봉로179길","일반도로","국지도로","소로","6m미만","구도"
"3229","도봉로18가길","일반도로","국지도로","소로","6m미만","구도"
"3230","도봉로18길","일반도로","국지도로","소로","6m미만","구도"
"3231","도봉로18나길","일반도로","국지도로","소로","6m미만","구도"
"3232","도봉로18다길","일반도로","국지도로","소로","6m미만","구도"
"3233","도봉로18라길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3234","도봉로180가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3235","도봉로180길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3236","도봉로180나길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3237","도봉로181가길","일반도로","국지도로","소로","6m미만","구도"
"3238","도봉로181길","일반도로","국지도로","소로","6m미만","구도"
"3239","도봉로181나길","일반도로","국지도로","소로","6m미만","구도"
"3240","도봉로183길","일반도로","국지도로","소로","6m미만","구도"
"3241","도봉로185길","일반도로","국지도로","소로","6m미만","구도"
"3242","도봉로187길","일반도로","국지도로","소로","6m미만","구도"
"3243","도봉로19길","일반도로","국지도로","소로","6m미만","구도"
"3244","도봉로191가길","일반도로","국지도로","소로","6m미만","구도"
"3245","도봉로191길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3246","도봉로20가길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3247","도봉로20길","일반도로","국지도로","소로","6m미만","구도"
